TIME, BPLP, STATE, REGIONTYPE, REGION, FREQUENCY, MEASURE_3
"2006","2100","1","SA2","125021476","A",739
"2006","2100","1","SA2","125021477","A",523
"2006","2100","1","SA2","125021478","A",471
"2006","2100","1","SA2","125031479","A",251
"2006","2100","1","SA2","125031480","A",151
"2006","2100","1","SA2","125031481","A",175
"2006","2100","1","SA2","125031482","A",567
"2006","2100","1","SA2","125031483","A",189
"2006","2100","1","SA2","125031484","A",363
"2006","2100","1","SA2","125031485","A",312
"2006","2100","1","SA2","125031486","A",0
"2006","2100","1","SA2","125031487","A",0
"2006","2100","1","SA2","125041488","A",440
"2006","2100","1","SA2","125041489","A",455
"2006","2100","1","SA2","125041490","A",293
"2006","2100","1","SA2","125041491","A",423
"2006","2100","1","SA2","125041492","A",290
"2006","2100","1","SA2","125041493","A",686
"2006","2100","1","SA2","125041494","A",447
"2006","2100","1","SA2","126011495","A",752
"2006","2100","1","SA2","126011496","A",869
"2006","2100","1","SA2","126021497","A",584
"2006","2100","1","SA2","126021498","A",612
"2006","2100","1","SA2","126021499","A",523
"2006","2100","1","SA2","126021500","A",516
"2006","2100","1","SA2","126021501","A",496
"2006","2100","1","SA2","126021502","A",724
"2006","2100","1","SA2","126021503","A",434
"2006","2100","1","SA2","127011504","A",335
"2006","2100","1","SA2","127011505","A",156
"2006","2100","1","SA2","127011506","A",205
"2006","2100","1","SA2","127011507","A",265
"2006","2100","1","SA2","127011508","A",253
"2006","2100","1","SA2","127021509","A",113
"2006","2100","1","SA2","127021510","A",259
"2006","2100","1","SA2","127021511","A",149
"2006","2100","1","SA2","127021512","A",256
"2006","2100","1","SA2","127021513","A",186
"2006","2100","1","SA2","127021514","A",69
"2006","2100","1","SA2","127021515","A",100
"2006","2100","1","SA2","127021516","A",239
"2006","2100","1","SA2","127021517","A",72
"2006","2100","1","SA2","127021518","A",54
"2006","2100","1","SA2","127021519","A",275
"2006","2100","1","SA2","127021520","A",79
"2006","2100","1","SA2","127021521","A",0
"2006","2100","1","SA2","127031522","A",291
"2006","2100","1","SA2","127031523","A",393
"2006","2100","1","SA2","127031524","A",547
"2006","2100","1","SA2","127031525","A",405
"2006","2100","1","SA2","127031526","A",444
"2006","2100","1","SA2","128011527","A",1065
"2006","2100","1","SA2","128011528","A",1446
"2006","2100","1","SA2","128011529","A",770
"2006","2100","1","SA2","128011530","A",699
"2006","2100","1","SA2","128011531","A",546
"2006","2100","1","SA2","128021532","A",1360
"2006","2100","1","SA2","128021533","A",308
"2006","2100","1","SA2","128021534","A",369
"2006","2100","1","SA2","128021535","A",840
"2006","2100","1","SA2","128021536","A",1023
"2006","2100","1","SA2","128021537","A",0
"2006","2100","1","SA2","128021538","A",825
"2006","2100","1","SA2","197979799","A",15
"2006","2100","2","SA2","201011001","A",178
"2006","2100","2","SA2","201011002","A",379
"2006","2100","2","SA2","201011003","A",508
"2006","2100","2","SA2","201011004","A",513
"2006","2100","2","SA2","201011005","A",250
"2006","2100","2","SA2","201011006","A",103
"2006","2100","2","SA2","201011007","A",129
"2006","2100","2","SA2","201011008","A",318
"2006","2100","2","SA2","201021009","A",289
"2006","2100","2","SA2","201021010","A",273
"2006","2100","2","SA2","201021011","A",390
"2006","2100","2","SA2","201021012","A",212
