TIME, BPLP, STATE, REGIONTYPE, REGION, FREQUENCY, MEASURE_3
"2001","2100","1","SA2","124011449","A",403
"2001","2100","1","SA2","124011450","A",1325
"2001","2100","1","SA2","124011451","A",0
"2001","2100","1","SA2","124011452","A",1044
"2001","2100","1","SA2","124011453","A",899
"2001","2100","1","SA2","124011454","A",1678
"2001","2100","1","SA2","124011455","A",504
"2001","2100","1","SA2","124021456","A",0
"2001","2100","1","SA2","124031457","A",1163
"2001","2100","1","SA2","124031458","A",969
"2001","2100","1","SA2","124031459","A",1038
"2001","2100","1","SA2","124031460","A",1134
"2001","2100","1","SA2","124031461","A",1431
"2001","2100","1","SA2","124031462","A",874
"2001","2100","1","SA2","124031463","A",310
"2001","2100","1","SA2","124031464","A",810
"2001","2100","1","SA2","124031465","A",269
"2001","2100","1","SA2","124041466","A",693
"2001","2100","1","SA2","124041467","A",834
"2001","2100","1","SA2","124041468","A",261
"2001","2100","1","SA2","124051469","A",280
"2001","2100","1","SA2","124051470","A",986
"2001","2100","1","SA2","124051471","A",1268
"2001","2100","1","SA2","125011472","A",212
"2001","2100","1","SA2","125011473","A",114
"2001","2100","1","SA2","125011474","A",334
"2001","2100","1","SA2","125011475","A",0
"2001","2100","1","SA2","125021476","A",882
"2001","2100","1","SA2","125021477","A",649
"2001","2100","1","SA2","125021478","A",551
"2001","2100","1","SA2","125031479","A",331
"2001","2100","1","SA2","125031480","A",201
"2001","2100","1","SA2","125031481","A",245
"2001","2100","1","SA2","125031482","A",655
"2001","2100","1","SA2","125031483","A",260
"2001","2100","1","SA2","125031484","A",432
"2001","2100","1","SA2","125031485","A",423
"2001","2100","1","SA2","125031486","A",0
"2001","2100","1","SA2","125031487","A",0
"2001","2100","1","SA2","125041488","A",591
"2001","2100","1","SA2","125041489","A",524
"2001","2100","1","SA2","125041490","A",336
"2001","2100","1","SA2","125041491","A",498
"2001","2100","1","SA2","125041492","A",312
"2001","2100","1","SA2","125041493","A",784
"2001","2100","1","SA2","125041494","A",498
"2001","2100","1","SA2","126011495","A",864
"2001","2100","1","SA2","126011496","A",932
"2001","2100","1","SA2","126021497","A",714
"2001","2100","1","SA2","126021498","A",605
"2001","2100","1","SA2","126021499","A",509
"2001","2100","1","SA2","126021500","A",625
"2001","2100","1","SA2","126021501","A",530
"2001","2100","1","SA2","126021502","A",804
"2001","2100","1","SA2","126021503","A",487
"2001","2100","1","SA2","127011504","A",496
"2001","2100","1","SA2","127011505","A",202
"2001","2100","1","SA2","127011506","A",227
"2001","2100","1","SA2","127011507","A",363
"2001","2100","1","SA2","127011508","A",250
"2001","2100","1","SA2","127021509","A",152
"2001","2100","1","SA2","127021510","A",330
"2001","2100","1","SA2","127021511","A",204
"2001","2100","1","SA2","127021512","A",370
"2001","2100","1","SA2","127021513","A",240
"2001","2100","1","SA2","127021514","A",81
"2001","2100","1","SA2","127021515","A",134
"2001","2100","1","SA2","127021516","A",324
"2001","2100","1","SA2","127021517","A",112
"2001","2100","1","SA2","127021518","A",60
"2001","2100","1","SA2","127021519","A",355
"2001","2100","1","SA2","127021520","A",107
"2001","2100","1","SA2","127021521","A",0
"2001","2100","1","SA2","127031522","A",291
"2001","2100","1","SA2","127031523","A",496
"2001","2100","1","SA2","127031524","A",669
"2001","2100","1","SA2","127031525","A",489
"2001","2100","1","SA2","127031526","A",530
"2001","2100","1","SA2","128011527","A",1201
"2001","2100","1","SA2","128011528","A",1549
"2001","2100","1","SA2","128011529","A",800
"2001","2100","1","SA2","128011530","A",782
"2001","2100","1","SA2","128011531","A",573
"2001","2100","1","SA2","128021532","A",1480
"2001","2100","1","SA2","128021533","A",354
"2001","2100","1","SA2","128021534","A",394
"2001","2100","1","SA2","128021535","A",864
"2001","2100","1","SA2","128021536","A",1082
"2001","2100","1","SA2","128021537","A",6
"2001","2100","1","SA2","128021538","A",898
"2001","2100","1","SA2","197979799","A",85
"2001","2100","2","SA2","201011001","A",147
"2001","2100","2","SA2","201011002","A",351
"2001","2100","2","SA2","201011003","A",490
"2001","2100","2","SA2","201011004","A",479
"2001","2100","2","SA2","201011005","A",249
"2001","2100","2","SA2","201011006","A",76
"2001","2100","2","SA2","201011007","A",139
"2001","2100","2","SA2","201011008","A",338
"2001","2100","2","SA2","201021009","A",244
"2001","2100","2","SA2","201021010","A",308
"2001","2100","2","SA2","201021011","A",396
"2001","2100","2","SA2","201021012","A",272
"2001","2100","2","SA2","201031013","A",136
"2001","2100","2","SA2","201031014","A",140
"2001","2100","2","SA2","201031015","A",200
"2001","2100","2","SA2","201031016","A",213
"2001","2100","2","SA2","201031017","A",268
"2001","2100","2","SA2","202011018","A",313
"2001","2100","2","SA2","202011019","A",187
"2001","2100","2","SA2","202011020","A",287
"2001","2100","2","SA2","202011021","A",211
"2001","2100","2","SA2","202011022","A",366
"2001","2100","2","SA2","202011023","A",53
"2001","2100","2","SA2","202011024","A",95
"2001","2100","2","SA2","202011025","A",122
"2001","2100","2","SA2","202021026","A",174
"2001","2100","2","SA2","202021027","A",349
"2001","2100","2","SA2","202021028","A",365
"2001","2100","2","SA2","202021029","A",170
"2001","2100","2","SA2","202021030","A",376
"2001","2100","2","SA2","202021031","A",372
"2001","2100","2","SA2","202031032","A",115
"2001","2100","2","SA2","202031033","A",247
"2001","2100","2","SA2","203011034","A",116
"2001","2100","2","SA2","203011035","A",329
"2001","2100","2","SA2","203011036","A",230
"2001","2100","2","SA2","203021037","A",724
"2001","2100","2","SA2","203021038","A",1435
"2001","2100","2","SA2","203021039","A",569
"2001","2100","2","SA2","203021040","A",681
"2001","2100","2","SA2","203021041","A",698
"2001","2100","2","SA2","203021042","A",816
"2001","2100","2","SA2","203021043","A",953
"2001","2100","2","SA2","203021044","A",462
"2001","2100","2","SA2","203021045","A",759
"2001","2100","2","SA2","203021046","A",379
"2001","2100","2","SA2","203021047","A",429
"2001","2100","2","SA2","203031048","A",736
"2001","2100","2","SA2","203031049","A",194
"2001","2100","2","SA2","203031050","A",1042
"2001","2100","2","SA2","203031051","A",357
"2001","2100","2","SA2","203031052","A",214
"2001","2100","2","SA2","203031053","A",473
"2001","2100","2","SA2","204011054","A",335
"2001","2100","2","SA2","204011055","A",200
"2001","2100","2","SA2","204011056","A",373
"2001","2100","2","SA2","204011057","A",378
"2001","2100","2","SA2","204011058","A",124
"2001","2100","2","SA2","204011059","A",206
"2001","2100","2","SA2","204011060","A",205
"2001","2100","2","SA2","204011061","A",16
"2001","2100","2","SA2","204011062","A",153
"2001","2100","2","SA2","204021063","A",226
"2001","2100","2","SA2","204021064","A",143
"2001","2100","2","SA2","204021065","A",89
"2001","2100","2","SA2","204021066","A",350
"2001","2100","2","SA2","204021067","A",280
"2001","2100","2","SA2","204031068","A",214
"2001","2100","2","SA2","204031069","A",679
"2001","2100","2","SA2","204031070","A",78
"2001","2100","2","SA2","204031071","A",120
"2001","2100","2","SA2","204031072","A",173
"2001","2100","2","SA2","204031073","A",345
"2001","2100","2","SA2","204031074","A",508
"2001","2100","2","SA2","204031075","A",130
"2001","2100","2","SA2","205011076","A",437
"2001","2100","2","SA2","205011077","A",246
"2001","2100","2","SA2","205011078","A",224
"2001","2100","2","SA2","205011079","A",543
"2001","2100","2","SA2","205021080","A",0
"2001","2100","2","SA2","205021081","A",371
"2001","2100","2","SA2","205021082","A",256
"2001","2100","2","SA2","205021083","A",0
"2001","2100","2","SA2","205021084","A",480
"2001","2100","2","SA2","205021085","A",283
"2001","2100","2","SA2","205021086","A",309
"2001","2100","2","SA2","205031087","A",394
"2001","2100","2","SA2","205031088","A",4
"2001","2100","2","SA2","205031089","A",399
"2001","2100","2","SA2","205031090","A",365
"2001","2100","2","SA2","205031091","A",615
"2001","2100","2","SA2","205031092","A",0
"2001","2100","2","SA2","205031093","A",1243
"2001","2100","2","SA2","205041094","A",575
"2001","2100","2","SA2","205041095","A",1025
"2001","2100","2","SA2","205041096","A",695
"2001","2100","2","SA2","205041097","A",914
"2001","2100","2","SA2","205041098","A",180
"2001","2100","2","SA2","205051099","A",3
"2001","2100","2","SA2","205051100","A",226
"2001","2100","2","SA2","205051101","A",408
"2001","2100","2","SA2","205051102","A",129
"2001","2100","2","SA2","205051103","A",553
"2001","2100","2","SA2","205051104","A",241
"2001","2100","2","SA2","206011105","A",576
"2001","2100","2","SA2","206011106","A",199
"2001","2100","2","SA2","206011107","A",282
"2001","2100","2","SA2","206011108","A",441
"2001","2100","2","SA2","206011109","A",154
"2001","2100","2","SA2","206021110","A",235
"2001","2100","2","SA2","206021111","A",717
"2001","2100","2","SA2","206021112","A",411
"2001","2100","2","SA2","206031113","A",307
